Title,Mileage,Year,Engine,Trans,Location,Ref_No,Model_Code,Steering,Fuel,Seats,Engine_Code,Color,Drive,Doors,Final_Price
2009 NISSAN X-TRAIL 20X,138610,2009,1990.0,AT,Yokohama,Ref No. BT663537,DBA-NT31,Right,Petrol,5,MR20,Blue,4WD,5,1730.0
2007 TOYOTA BELTA X,97039,2007,1290.0,AT,Yokohama,Ref No. BT654086,CBA-NCP96,Right,Petrol,5,2NZ,Silver,4WD,4,1620.0
2023 HONDA VEZEL HYBRID E HEV Z,2806,2023,1490.0,AT,Yokohama,Ref No. BT645399,6AA-RV6,Right,Hybrid(Petrol),5,LEC-H5,Black,4WD,5,15800.0
2020 TOYOTA RAIZE X S,14779,2020,990.0,AT,Yokohama,Ref No. BT653949,5BA-A200A,Right,Petrol,5,1KR,Black,2WD,5,10100.0
2020 TOYOTA C-HR HYBRID G,146196,2020,1790.0,AT,Yokohama,Ref No. BT654082,6AA-ZYX11,Right,Hybrid(Petrol),5,2ZR-1NM,Gray,2WD,5,11980.0
2023 TOYOTA LAND CRUISER PRADO TX,15591,2023,2690.0,AT,Yokohama,Ref No. BT654334,3BA-TRJ150W,Right,Petrol,7,2TR,Pearl,4WD,5,29660.0
2022 SUZUKI ESCUDO HYBRID,8130,2022,1460.0,AT,Kobe,Ref No. BT663673,5AA-YEH1S,Right,Hybrid(Petrol),5,K15C-PB03A,Beige,,5,15970.0
2024 TOYOTA COROLLA CROSS G X,7,2024,1980.0,AT,Nagoya,Ref No. BT708781,4BA-MXGA10,Right,Petrol,5,M20A,Black,,5,16680.0
2006 MITSUBISHI PAJERO MINI XR,65896,2006,650.0,AT,Yokohama,Ref No. BT726460,ABA-H58A,Right,Petrol,4,4A30,Black,4WD,3,1250.0
1998 MITSUBISHI MINICAB TRUCK,101497,1998,650.0,MT,Osaka,Ref No. BT709071,V-U41T,Right,Petrol,2,3G83,White,,2,1080.0
2007 TOYOTA HARRIER 240G L PACKAGE,104891,2007,2360.0,AT,Osaka,Ref No. BT726555,CBA-ACU30W,Right,Petrol,5,2AZ,Pearl,2WD,5,4290.0
1996 MITSUBISHI MINICAB TRUCK V30 SPECIAL EDITION,47513,1996,650.0,MT,Nagoya,Ref No. BT730564,V-U42T,Right,Petrol,2,3G83,White,4WD,2,1250.0
2009 BMW X5 X DRIVE 30I,117646,2009,2990.0,AT,Kobe,Ref No. BT740825,ABA-FE30,Right,Petrol,5,N52B30A,Black,4WD,5,3370.0
2007 HONDA CR-V ZL,150137,2007,2350.0,AT,Yokohama,Ref No. BT740909,DBA-RE3,Right,Petrol,5,K24A,Black,,5,1980.0
1997 SUZUKI CARRY TRUCK KU AC,44584,1997,650.0,MT,Kobe,Ref No. BT665807,V-DC51T,Right,Petrol,2,F6A,White,,2,1090.0
2015 MAZDA DEMIO MID CENTURY,160661,2015,1490.0,AT,Nagoya,Ref No. BT665837,LDA-DJ5FS,Right,Diesel,5,S5,Pearl,2WD,5,2450.0
2019 MERCEDES-BENZ A-CLASS A200D NAVIGATION P RADAR SAFETY,94909,2019,1940.0,AT,Yokohama,Ref No. BT666226,3DA-177012,Right,Diesel,5,654,White,2WD,5,8840.0
2006 TOYOTA RACTIS G L PANORAMA PACKAGE,142844,2006,1490.0,AT,Yokohama,Ref No. BT666259,DBA-NCP100,Right,Petrol,5,1NZ,Gray,2WD,5,1270.0
2012 TOYOTA VANGUARD,154223,2012,2360.0,AT,Yokohama,Ref No. BT666396,DBA-ACA38W,Right,Petrol,5,2AZ,Black,2WD,5,4370.0
2014 HONDA VEZEL HYBRID X L PACKAGE,176954,2014,1490.0,AT,Yokohama,Ref No. BT679985,DAA-RU4,Right,Hybrid(Petrol),5,LEB-H1,Pearl,4WD,5,4030.0
2016 HINO DUTRO,334615,2016,4000.0,AT,Kyushu,Ref No. BT698711,TKG-XZU605M,Right,Diesel,3,N04C,White,2WD,2,4120.0
2006 SUBARU FORESTER CROSS SPORTS,135974,2006,1990.0,AT,Yokohama,Ref No. BT709186,CBA-SG5,Right,Petrol,5,EJ20,Gray,4WD,5,1790.0
2015 TOYOTA ESQUIRE,121321,2015,1980.0,AT,Yokohama,Ref No. BT709326,DBA-ZRR85G,Right,Petrol,7,3ZR,Silver,4WD,5,5167.284852024922
2009 TOYOTA PREMIO 1.8X L PACKAGE,90300,2009,1790.0,AT,Yokohama,Ref No. BT715523,DBA-ZRT260,Right,Petrol,5,2ZR,Black,2WD,4,3780.0
2005 TOYOTA ALLEX XS150 WISE SELECTION,98086,2005,1490.0,AT,Yokohama,Ref No. BT715524,DBA-NZE121,Right,Petrol,5,1NZ,Silver,2WD,5,2630.0
1999 TOYOTA LITEACE NOAH G EXURB,107756,1999,1990.0,AT,Yokohama,Ref No. BT715546,GF-SR40G,Right,Petrol,8,3S,Pearl,2WD,4,3920.0
2010 TOYOTA VANGUARD 240S,99872,2010,2360.0,AT,Yokohama,Ref No. BT715612,DBA-ACA33W,Right,Petrol,5,2AZ,Black,4WD,5,4480.0
2003 MITSUBISHI PAJERO MINI XR,117016,2003,650.0,AT,Yokohama,Ref No. BT716275,TA-H58A,Right,Petrol,4,4A30,Green,4WD,3,930.0
